BAE Systems Marine Ltd,3091,0,100,0,
AWE PLC,2213,0,100,0,[note 13]
Devonport Royal Dockyard Ltd,1553,4,96,0,
BAE Systems Surface Ships Ltd,1424,26,74,0,[note 17]
United States Government,1202,0,0,100,[note 15]
BAE Systems (Operations) Ltd,1119,3,92,5,[note 17]
QinetiQ Ltd,1113,47,40,12,[note 17]
Rolls-Royce Submarines Ltd,1051,0,100,0,
VIVO Defence Services Ltd,937,97,0,3,[note 17]
NETMA,900,0,100,0,[note 14]
Cabinet Office,873,0,0,100,[note 13] [note 17] [note 18]
HM Revenue & Customs,807,0,0,100,[note 13]
Babcock Land Defence Ltd,707,94,6,0,
#,MBDA UK Ltd,Italie,659,0,98,2,[note 17]
#,Leonardo UK Ltd,Italie,619,17,80,3,[note 17]
#,Leidos Europe Ltd,États-Unis,607,100,0,0,
#,Thales UK Ltd,France,597,6,93,1,[note 17]
Airtanker Ltd,582,100,0,0,
#,Boeing Defence UK Ltd,États-Unis,512,5,95,0,
Aspire Defence Ltd,428,100,0,0,
BAE Systems Global Combat Systems Munitions Ltd,426,0,100,0,[note 17]
US Treasury,372,0,0,100,[note 15]
OCCAR-EA,356,0,4,96,[note 14]
Capita Business Services Ltd,342,99,0,0,[note 17] [note 18]
EDF Energy Customers Ltd,311,96,0,4,[note 17]
#,General Dynamics United Kingdom Ltd,États-Unis,288,85,15,0,[note 17]
British Telecommunications PLC,267,65,34,1,[note 17] [note 18]
#,Navantia UK Ltd,Espagne,253,100,0,0,
Babcock Integrated Technology Ltd,251,91,9,0,
NATO Support and Procurement Agency (NSPA),245,0,0,100,[note 14]
Rosyth Royal Dockyard Ltd,235,82,18,0,
#,Fujitsu Services Ltd,Japon,235,81,3,15,[note 17]
Organisation for Joint Armaments Co-Operation Executive Admin,228,0,0,100,[note 14]
Enterprise Services Defence and Security UK Ltd,213,95,5,0,
VINCI Construction UK Ltd,212,100,0,0,
Amey Defence Services Ltd,211,100,0,0,
Rolls-Royce PLC,210,0,98,2,[note 17]
Sheffield Forgemasters Engineering Ltd,203,0,8,92,[note 13]
Landmarc Support Services Ltd,203,100,0,0,
boxxe Ltd,187,99,0,1,[note 17] [note 18]
Annington Receivables Ltd,186,0,0,100,
Mitie (Defence) Ltd,182,92,8,0,
Compass Contract Services (UK) Ltd,176,91,0,9,[note 17]
Ascent Flight Training (Management) Ltd,176,100,0,0,
Serco Ltd,173,27,73,0,[note 17]
Foreign Commonwealth & Development Office,163,0,0,100,[note 13]
#,Lockheed Martin UK Ltd,États-Unis,160,26,74,0,
US Department of Energy,157,0,0,100,[note 15]
#,Rheinmetall BAE Systems Land Ltd,Allemagne,157,8,92,1,[note 17]
TTT Moneycorp Ltd,154,0,0,100,
Turner & Townsend Project Management Ltd,153,100,0,0,
Council of Reserve Forces' and Cadets' Associations,138,0,0,100,[note 13]
KBS Maritime Ltd,130,100,0,0,
Babcock Marine (Clyde) Ltd,127,2,98,0,
Davitt Jones Bould Ltd,125,0,0,100,
PA Consulting Services Ltd,120,86,8,5,[note 17]
Raytheon Systems Ltd,119,36,64,0,
Office of Communications (Ofcom),117,0,0,100,[note 13] [note 18]
Airbus Defence and Space Ltd,117,8,90,2,[note 17]
Modus Services Ltd,116,100,0,0,
SHAPE,114,0,0,100,[note 14]
"Sierra Nevada Company, LLC",111,96,4,0,
Mears Ltd,110,100,0,0,
HQ British Gurkhas Nepal,107,0,0,100,
Holdfast Training Services Ltd,107,100,0,0,
Vitol Aviation UK Ltd,106,100,0,0,
CGI IT UK Ltd,103,58,38,5,[note 17] [note 18]
TotalEnergies Gas & Power Ltd,102,97,0,3,[note 17] [note 18]
Capgemini UK PLC,101,86,4,10,[note 17]
RMPA Services PLC,99,100,0,0,
Mitie Ltd,98,100,0,0,
Callen-Lenz Associates Ltd,95,0,98,2,[note 17]
Davies Group Ltd,93,100,0,0,
Aramark Defence Services Ltd,93,87,0,13,[note 17]
Sodexo Ltd,90,96,0,4,
645 Aeronautical System Group - Rivet Joint UK Program,89,0,100,0,[note 15]
TEKEVER Ltd,88,1,95,4,
Skanska Construction UK Ltd,84,0,100,0,
The Royal NAAFI,82,0,9,91,[note 13]
Sopra Steria Ltd,80,18,2,80,[note 17]
Northrop Grumman UK Ltd,80,1,99,0,
Cammell Laird Shiprepairers & Shipbuilders Ltd,80,100,0,0,
FR Aviation Ltd,78,32,68,0,
McLaughlin & Harvey Ltd,77,100,0,0,
Hogg Robinson (Travel) Ltd,76,0,0,100,[note 17] [note 19]
Kellogg Brown & Root Ltd,72,83,13,4,
General Atomics Aeronautical Systems Inc.,72,0,100,0,
Eastbury Park Ltd,71,100,0,0,
Atlas Elektronik UK Ltd,70,58,32,9,[note 17]
