Albania,France,2009,,4,,AS-532 Cougar,transport helicopter,1,,2014,New,AS-532AL armed version,7.25,29,7.25;;;;;;;;;;;;;;
Algeria,France,2012,,2,,BlueMaster,anti-submarine sonar,2,,2016,New,UMS-4132 version for MEKO-A200 frigate from Germany,10,20,20;;;;;;;;;;;;;;
Algeria,France,2014,?,3,?,FLASH,anti-submarine sonar,3,,2016,New,Compact FLASH version for 3 Lynx Mk-140 anti-submarine helicopters from United Kingdom,2,6,6;;;;;;;;;;;;;;
Algeria,France,2020,?,2,?,ship engine,ship engine,2,,2023,New,SEMT-Pielstick 16PA-6 (6900hp) diesel engine for 1 Type-056A frigate from China;probably from production line in China,2.5,5,5;;;;;;;;;;;;;
Algeria,France,2018,,20,,FPB-98,patrol boat,20,?,2019;2020;2021,New,FPB-98 Mk-3 version,6.5,130,130;;;;;;;;;;;;
Angola,France,2016,,3,?,HSI-32,patrol boat,3,?,2019,New,Part of EUR495 m deal,5,15,15;;;;;;;;;;;;;;
Angola,France,2022,?,3,,Ocean Eagle-43,patrol boat,1,,2022,New,,11,33,11;;;;;;;;;;;;;;
Angola,France,2021,?,2,,LCT-200-70,landing ship,1,,2023,New,Angolan designation 4 de Abril;delivery planned 2023-2025,15,30,15;;;;;;;;;;;;;
Argentina,France,2014,?,5,?,Ground Observer-80,ground-surveillance radar,5,?,2015,New,,0.75,3.75,3.75;;;;;;;;;;;;;;
Argentina,France,2017,,5,,Super Etendard,FGA aircraft,5,,2019,Second hand,Second-hand;EUR12.6 m deal;Super Etendard Modernisé version ,4,20,20;;;;;;;;;;;;
Argentina,France,2017,,8,,Atar-8,turbojet,8,?,2019,Second hand,Probably second-hand;spares for Super Etendard combat aircraft,0.4,3.2,3.2;;;;;;;;;;;;;
Argentina,France,2018,,3,,Gowind,patrol ship,3,,2021;2022,New,Part of EUR319 m deal;Argentinian designation Bouchard,20.5,61.5,61.5;;;;;;;;;;;;
Argentina,France,2018,,1,,Gowind,patrol ship,1,,2019,Second hand,Second-hand;part of EUR319 m deal;Argentinian designation Bouchard,12,12,12;;;;;;;;;;;;
Argentina,France,2013,?,1,,Vigile-200,signals intelligence system,1,,2016,New,For modification of 1 Learjet-35 transport aircraft to signals intelligence aircraft,7.5,7.5,7.5;;;;;;;;;;;;;;
Armenia,France,2023,,24,?,Bastion,armoured personnel carrier,24,?,2023,New,,0.16,3.84,3.84;;;;;;;;;;;;;;
Australia,France,2011,,24,,FLASH,anti-submarine sonar,22,,2014;2015;2016,New,AQS-22 ALFS version for 24 MH-60R anti-submarine helicopters from USA;from production line in USA,2,48,44;;;;;;;;;;;
Australia,France,2003,,300,?,MU-90 IMPACT,anti-submarine torpedo,180,?,2014;2015;2016;2017,New,EUR150 m 'Joint Project-2070 Djimindi Phase-3' (incl up to 35% of components produced in Australia),0.5,150,90;;;;;;;;;;;
Australia,France,2009,?,2,,Vampyr,air-search system,2,,2014;2015,New,Vampyr-NG version for 2 BPE (Canberra) amphibious assault ships from Spain,2,4,4;;;;;;;;;;;;;
Australia,France,2005,,17,,Vampyr,air-search system,14,?,2014;2015;2016;2017,New,Vampyr-NG version for modernization of 8 MEKO-200 (Anzac) frigates,2,34,28;;;;;;;;;;;
Australia,France,2006,,35,,NH-90 TTH,transport helicopter,22,?,2014;2015;2016;2017;2018,New,AUD2 b ($1.5 b) 'Project Air-9000 Phase-3' or 'Project Air-9000 Phase-4' (incl 10 year support); assembled/produced under licence in Australia;MRH-90 version,7,245,154;;;;;;;;
Australia,France,2015,,2,,air refuel system,air refuel system,2,,2018;2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20;;;;;;;;;;;;;
Bahrain,France,2009,?,20,?,Black Scorpion,armoured personnel carrier,5,?,2014,New,Probably assembled in Bahrain;Bahraini designation probably Faisal,0.14,2.8,0.7;;;;;;;;;;;;;
Bangladesh,France,2012,,4,,ship engine,ship engine,4,?,2015,New,SEMT-Pielstick 16-PA6-280 diesel engine for 2 Type-056 (Shadhinata) frigates from China;probably from Chinese production line,2.5,10,10;;;;;;;;;;;;;
Bangladesh,France,2011,?,4,?,ship engine,ship engine,4,,2017,New,SEMT-Pielstick 12PA6-V-280 (5625hp) diesel engine;for 2 LPC-1 corvettes from China;from Chinese production line,1.5,6,6;;;;;;;;;;;;
Bangladesh,France,2015,,4,,ship engine,ship engine,4,,2019,New,SEMT-Pielstick 16PA6-280 diesel engine;for 2 Type-056 (Shadhinata) frigates from China;probably from Chinese production line,2.5,10,10;;;;;;;;;;;;
Belgium,France,2007,,4,,NH-90 TTH,transport helicopter,2,,2014,New,Part of EUR300 m deal;option on 2 more not used,7,28,14;;;;;;;;;;;;;
Belgium,France,2001,,4,,ENR,maritime patrol aircraft radar,2,,2014,New,For 4 NH-90 NFH anti-submarine helicopters from Germany;possibly from production line in Italy,3.5,14,7;;;;;;;;;;;;;
Belgium,France,2001,?,4,,FLASH,anti-submarine sonar,3,,2014;2015,New,For 4 NH-90 NFH anti-submarine helicopters from Germany;possibly from production line in Italy,2,8,6;;;;;;;;;;;;
Belgium,France,2013,,2,,Castor,patrol boat,2,,2014;2015,New,EUR27 m 'PRDS' programme;Belgian designation Castor,15,30,30;;;;;;;;;;;;
Belgium,France,2001,?,8,?,aircraft engine,aircraft engine,6,?,2014;2015,New,Rolls-Royce Turbomeca RTM-322 (2415hp) turboshaft engine for 4 NH-90NFH anti-submarine helicopters from Germany,0.75,6,4.5;;;;;;;;;;;;;
Benin,France,2015,?,6,?,ACMAT APC,armoured personnel carrier,6,?,2016,New,,0.16,0.96,0.96;;;;;;;;;;;;;;
Benin,France,2021,,30,?,VAB-VTT,armoured personnel carrier,30,?,2023;2024,Second hand,Second-hand;financed by EU aid,0.12,3.6,3.6;;;;;;;;;;;;
Bhutan,France,2015,,2,,EC130,light helicopter,2,?,2015;2016,New,USD7.3 m deal;H-130 (EC-130T2) version;incl for civilian roles,0.95,1.9,1.9;;;;;;;;;;;
Bolivia,France,2016,,4,,Ground Master-400,air-search radar,4,?,2019;2020,New,Part of EUR191 m ($215 m) deal;incl for civilian use,13,52,52;;;;;;;;;;;;
Bolivia,France,2013,,6,,AS-532 Cougar,transport helicopter,6,,2014;2016;2017,New,EUR161 m deal;AS-332C1e version,7.25,43.5,43.5;;;;;;;;;;;
Botswana,France,2016,,1,?,VL-MICA,SAM system,1,?,2020,New,,25,25,25;;;;;;;;;;;;;;
Botswana,France,2015,,150,?,MILAN,anti-tank missile,150,?,2016,New,,0.01,1.5,1.5;;;;;;;;;;;;;;
Botswana,France,2016,,50,?,MICA,long-range air-to-air missile,50,?,2020,New,For VL-MICA SAM system,0.4,20,20;;;;;;;;;;;;;;
Botswana,France,2016,,140,?,Mistral,portable SAM,140,?,2018;2019;2020,New,,0.09,12.6,12.6;;;;;;;;;;;;
Brazil,France,2022,,27,,AS-350/AS-550 Fennec,light helicopter,1,?,2024,New,'TH-X' programme;H125 version; for training;produced under licence in Brazil,0.9,24.3,0.9;;;;;;;;;;;
Brazil,France,2009,?,100,?,F21,anti-ship/anti-submarine torpedo,48,?,2020;2022;2023;2024,New,For Scorpene (SBR) and SNBR submarines,1.2,120,57.6;;;;;;;;;;;
