Albania,Germany,2014,,2,,EC145,light helicopter,2,?,2015,New,,3.25,6.5,6.5
Algeria,Germany,2012,?,12,?,ship engine,ship engine,12,?,2015; 2016,New,MTU 16V-1163 (8050hp) diesel engine for 3 C-28A frigates from China,3,36,36
Algeria,Germany,2011,,54,,Fuchs-2,armoured personnel carrier,32,?,2014,New,EUR195 m deal,0.4,21.6,12.8
Algeria,Germany,2012,,2,,MEKO-A200,frigate,2,,2016,New,Algerian designation Erradii; option on 2 more,263.5,527,527
Algeria,Germany,2014,?,1200,?,Fuchs-2,armoured personnel carrier,957,?,2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024,New,Assembled in Algeria; delivery planned 2015-2028,0.4,480,382.8
Argentina,Germany,2012,,10,,G-120TP,trainer aircraft,6,,2014,New,$26 m deal,0.4,4,2.4
Australia,Germany,2018,,78,,Boxer,armoured personnel carrier,18,?,2022; 2024,New,Part of AUD5.2 b ($3.5 b) 'Project Land-400 Phase-2' deal; incl production under licence of 66 in Australia; incl ambulance; command post; recovery and engineer versions; delivery planned 2022-2026,0.55,42.9,9.9
Australia,Germany,2018,,133,,Boxer,infantry fighting vehicle,22,?,2022; 2024,New,Part of AUD5.2 b ($3.5 b) 'Project Land-400 Phase-2' deal; incl production under licence of 120 in Australia; delivery planned 2022-2029,1.1,146.3,24.2
Australia,Germany,2014,,15,,EC135,light helicopter,15,?,2015; 2016; 2017,New,H135T2+ (EC135T2+) version; ; owned and operated by civilian company for 'HATS' programme for training of Australian military,2.25,33.75,33.75
Australia,Germany,2015,,9,,ASR-NG,air-search radar,2,?,2020; 2024,New,EUR130 m 'Project Air-5431 Phase-2'; incl for civilian air traffic control; delivery planned 2023-2025,9,81,18
Australia,Germany,2007,?,4,,ship engine,ship engine,4,,2014; 2015,New,MAN 32/40-16V (10540hp) diesel engine for 2 BPE (Canberra) amphibious assault ships from Spain,3,12,12
Australia,Germany,2016,?,4,,ship engine,ship engine,4,?,2021,New,MAN 18V32/40 diesel engine for 2 Cantabria (Supply) replenishment ships from Spain; from production line in Spain,3,12,12
Austria,Germany,2016,,18,,Dingo-2,armoured personnel carrier,18,,2017,New,EUR20 m deal,0.35,6.3,6.3
Austria,Germany,2017,,40,,Dingo-2,armoured personnel carrier,40,?,2018; 2019,New,EUR51-64 m deal,0.35,14,14
Austria,Germany,2013,,6,,Dingo-2,armoured personnel carrier,6,?,2014,New,EUR10.5 m deal; ambulance version,0.35,2.1,2.1
Bangladesh,Germany,2017,,2,,Do-228MP,maritime patrol aircraft,2,,2021; 2022,New,Do-228-212NG version,7,14,14
Bangladesh,Germany,2021,,24,,G-120TP,trainer aircraft,24,,2021; 2022,New,,0.4,9.6,9.6
Belgium,Germany,2001,,4,,NF-90 NFH,anti-submarine helicopter,3,,2014; 2015,New,Part of EUR300 m deal,10.7,42.8,32.1
Belgium,Germany,2003,,28,?,TP400-D6,turboprop,28,?,2020; 2021; 2022; 2024,New,For 7 A400M transport aircraft from Spain,3,84,84
Benin,Germany,2023,?,12,,Cavalon,light aircraft,2,?,2024,New,Cavalon Sentinel version,0.06,0.72,0.12
Bolivia,Germany,2014,,2,,EC145,light helicopter,2,,2014,New,BOB172 m ($24 m) deal,3.25,6.5,6.5
Brazil,Germany,2013,,34,,Gepard,self-propelled anti-aircraft gun,24,?,2014; 2015,Second hand,Second-hand; EUR37 m deal (incl 3 more for spare parts),3.6,122.4,86.4
Brazil,Germany,2010,,16,,ship engine,ship engine,8,,2022; 2024,New,MTU (800hp) diesel engine for 4 Scorpene submarines from France,0.25,4,2
Brunei,Germany,2012,?,1,?,OPV-80,corvette,1,,2014,New,Bruneian designation Darussalam,63,63,63
Canada,Germany,2013,,7,,ASR-NG,air-search radar,7,?,2016; 2017,New,EUR50 m deal,9,63,63
Canada,Germany,2011,,18,,Wisent-2,armoured engineer/recovery vehicle,18,,2017; 2018,New,Canadian Leopard-2A4 tanks rebuilt (under licence in Canada) to Wisent-2 recovery vehicles,2.5,45,45
Chile,Germany,2017,,3,,TRS-4D,multi-function radar,3,,2019; 2020; 2021,New,For modernization of 3 Type-23 frigates,15,45,45
Chile,Germany,2015,,1,,OPV-80,patrol ship,1,,2017,New,Part of 'Danubio-4' programme; produced in Chile; Chilean designation Piloto Pardo and PZM,40,40,40
Chile,Germany,2011,,1,,OPV-80,patrol ship,1,,2014,New,$45 m deal; part of 'Danubio-4' programme; produced in Chile; Chilean designation Piloto Pardo and PZM,36,36,36
China,Germany,2010,?,64,?,ship engine,ship engine,52,?,2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2024,New,Probably MTU 20V-956 TB-33 (8000-8375hp) diesel engine for 32 Type-052D (Luyang-3) destroyers produced in China; produced under licence in China,3,192,156
China,Germany,1981,?,,?,vehicle engine,vehicle engine,475,?,2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024,New,Deutz BF-8L413F; BF-8L513F and BF-8L4 (320-360hp) diesel engines for YW-531 (Type-63); YW-531H (Type-85); YW-534 (Type-89); YW-535 (Type-90); WZ-551 and WMZ-551 (Type-92) armoured personnel carriers and infantry fighting vehicles; PTL-02 tank destroyers; PLL-05 self-propelled mortars; and Type-85 self-propelled guns produced in China; produced under licence in China,0.05,0,23.75
