Algeria,Sweden,2012,?,2,,Giraffe-AMB,air-search radar,2,,2016,New,For 2 MEKO-A200 frigates from Germany,7.5,15,15
Algeria,Sweden,2012,?,4,,CEROS-200,fire-control radar,4,,2016,New,For 2 MEKO-A200 frigates from Germany,2.5,10,10
Algeria,Sweden,2012,?,65,?,RBS-15 Mk-3,anti-ship/land-attack missile,65,?,2016,New,For MEKO-A200 frigates,1.2,78,78
Argentina,Sweden,2021,?,100,?,RBS-70 Mk-3 Bolide,portable SAM,100,?,2022; 2023,New,Part of $45 m deal (incl launchers),0.1,10,10
Australia,Sweden,2009,?,2,,Giraffe-AMB,air-search radar,2,,2014; 2015,New,For 2 BPE (Canberra) amphibious assault ships from Spain,7.5,15,15
Austria,Sweden,2016,,32,,BvS-10,armoured personnel carrier,32,?,2019,New,EUR85 m deal; BvS-10 Mk-2B AUT version,0.25,8,8
Brazil,Sweden,2015,,36,,Gripen-E,FGA aircraft,9,?,2020; 2021; 2023; 2024,New,SEK39 b ($4.3-5.8 b) 'F-X2' programme (offsets incl production of components and assembly in Brazil and technology transfers); Gripen-NG version; incl 8 Gripen-F trainer/combat version; Brazilian designation F-39E; delivery planned 2020-2026,31.5,1134,283.5
Brazil,Sweden,2014,,80,?,RBS-70 Mk-3 Bolide,portable SAM,80,?,2014; 2015; 2016; 2017,New,BRL28 m or SEK80 m ($12 m) deal (incl 16 launchers),0.1,8,8
Brazil,Sweden,2021,,50,,RBS-70,portable SAM,50,,2023,New,$3 m deal; RBS-70 Mk-2 version,0.08,4,4
Brazil,Sweden,2018,,50,?,RBS-70,portable SAM,50,?,2019; 2020; 2021,New,RBS-70NG version,0.08,4,4
Brunei,Sweden,2012,?,1,?,SAK-70 Mk-2 57mm,naval gun,1,,2014,New,SAK-70 Mk-3 version for 1 OPV-80 (Darussalam) corvette from Germany,2.5,2.5,2.5
Canada,Sweden,2019,,7,,Skeldar,UAV,7,?,2020; 2021,New,,0.2,1.4,1.4
Canada,Sweden,2009,,24,,CEROS-200,fire-control radar,24,?,2014; 2015; 2016; 2018,New,For modernization of 12 Halifax (City) frigates,2.5,60,60
Czechia,Sweden,2018,?,80,?,RBS-70,portable SAM,80,?,2020; 2021; 2023,New,RBS-70 Mk-2 version; for RBS-70NG SAM systems,0.08,6.4,6.4
Denmark,Sweden,2006,?,3,,CEROS-200,fire-control radar,2,,2014,New,For 3 Huitfeldt (PS) frigates produced in Denmark,2.5,7.5,5
Denmark,Sweden,2016,,309,?,vehicle engine,vehicle engine,309,?,2018; 2019; 2020; 2021; 2022; 2023,New,Scania DC-13 diesel engine for 309 Piranha-5 armoured personnel carriers from Switzerland,0.08,24.72,24.72
Finland,Sweden,2023,,161,?,vehicle engine,vehicle engine,95,?,2023; 2024,New,Scania DC-09 (395hp) diesel engine for 161 Patria 6x6 (CAVS) armoured personnel carriers produced in Finland,0.05,8.05,4.75
Finland,Sweden,2006,?,4,,9LV,fire-control radar,1,?,2014,New,9LV-225 version; for modernization of 4 Rauma FAC,2.5,10,2.5
Finland,Sweden,2006,?,4,,Giraffe-75,air-search radar,1,?,2014,New,Sea Giraffe version; for modernisation of 4 Rauma FAC,4,16,4
Finland,Sweden,2012,?,19,,Bv-308,armoured personnel carrier,19,?,2014,Second hand,Second-hand; 'FATV' programme,0.08,1.52,1.52
Finland,Sweden,2017,?,10,?,Torped-45,anti-ship/anti-submarine torpedo,10,?,2020,Second hand,Second-hand; lease unitil deliverey of Torped-47; for Hamina missile boats,0.2,2,2
Finland,Sweden,2022,,200,?,RBS-70 Mk-3 Bolide,portable SAM,100,?,2023; 2024,New,Delivery planned 2023-2026,0.1,20,10
Finland,Sweden,2017,,16,?,Torped-47,anti-ship/anti-submarine torpedo,16,?,2023; 2024,New,For modernized Hamina missile boats,0.5,8,8
