Algeria,United Kingdom,2012,,6,,Super Lynx,anti-submarine helicopter,6,?,2015;2016,New,Super Lynx Mk-140 version,12.5,75,75;;;;;;;;
Angola,United Kingdom,2015,?,1,?,Seaspray,maritime patrol aircraft radar,1,,2017,New,For 1 Citation-1 light transport aircraft from USA modified to MP aircraft in Israel before delivery,2,2,2;;;;;;;;;
Australia,United Kingdom,2024,,5,,EC135,light helicopter,5,,2024,New,,2.25,11.25,11.25;;;;;;;;;
Australia,United Kingdom,2015,,2,,air refuel system,air refuel system,2,,2018;2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20;;;;;;;;
Australia,United Kingdom,2012,,19,,UFH/M-777 155mm,towed gun,19,?,2014;2015,New,$70 m deal; ordered via USA from US production line;M-777A2 version,1,19,19;;;;;;
Australia,United Kingdom,2017,,1,,AW139,helicopter,1,,2017,Second hand,Second-hand;for Australian company for 15-month lease for SAR to Australian navy,2.4,2.4,2.4;;;;;;;;
Bahrain,United Kingdom,2020,,1,,River Batch-1,patrol ship,1,,2020,Second hand,Second-hand;Bahraini desugnation Al-Zubara,15.2,15.2,15.2;;;;;;;;
Bahrain,United Kingdom,2017,,2,,C-130J Hercules,transport aircraft,2,?,2018,Second hand,Second-hand;Hercules C-5 version,16,32,32;;;;;;;;
Bangladesh,United Kingdom,2019,,3,,C-130J Hercules,transport aircraft,3,,2020;2022;2024,Second hand,Second-hand;Hercules C-5 version,16,48,48;;;;;;
Bangladesh,United Kingdom,2018,,2,,C-130J Hercules,transport aircraft,2,,2019;2020,Second hand,Second-hand;Hercules C-5 version,16,32,32;;;;;;;
Bangladesh,United Kingdom,2017,,2,,Seaspray,maritime patrol aircraft radar,2,,2021;2022,New,Seaspray-5000E version;for 2 Do-228 MP aircraft from Germany,2,4,4;;;;;;;
Bolivia,United Kingdom,2016,,1,,Star-NG,air-search radar,1,,2019,New,Star-2000 version,8,8,8;;;;;;;;;
Brazil,United Kingdom,2012,,,,air refuel system,air refuel system,1,?,2022,New,For KC-390 tanker/transport aircraft produced in Brazil,10,0,10;;;;;;;;;
Brazil,United Kingdom,2019,?,1,,Adams Challenge,support ship,1,,2020,Second hand,Second-hand; for submarine rescue role;Brazilian designation Guillobel,10,10,10;;;;;;;
Brazil,United Kingdom,2015,,36,?,Raven ES-05,combat aircraft radar,8,,2020;2021;2023,New,For 36 Gripen-E (Gripen-NG) combat aircraft from Sweden,2.5,90,20;;;;;;;
Brazil,United Kingdom,2013,?,8,,Seaspray,maritime patrol aircraft radar,8,?,2015;2016;2017;2018;2019;2020;2021;2022,New,Seaspray-500E version for modernization of 8 P-95M MP aircraft,2,16,16;;
Brazil,United Kingdom,2019,,100,,Meteor,long-range air-to-air missile,20,?,2021;2024,New,EUR200 m deal;for Gripen-E combat aircraft,0.8,80,16;;;;;;;
Brazil,United Kingdom,2018,,1,,Ocean,amphibious assault ship,1,,2018,Second hand,Second-hand;GBP84 m ($117 m) deal,136,136,136;;;;;;;;
Chile,United Kingdom,2017,?,150,?,CAMM,SAM,150,?,2020;2021,New,For modernized Type-23 frigates,0.35,52.5,52.5;;;;;;;;
