United Kingdom,United States,2022,,13,,L-159A ALCA,FGA aircraft,13,,2022; 2023; 2024,Second hand,Second-hand; for 'Interim Red Air Aggressor Service' programme for training of UK armed forces; L-159E version,4,52,52
United Kingdom,United States,2022,?,200,?,AIM-120D AMRAAM,long-range air-to-air missile,40,?,2022; 2023,New,,0.8,160,32
United Kingdom,Germany,2018,,18,,ship engine,ship engine,9,,2022; 2024,New,MTU 20V-4000 (4020hp) diesel engine for modernization of 6 Type-45 destroyers,1.5,27,13.5
United Kingdom,Germany,2019,?,4,,EC145,light helicopter,4,?,2020; 2021,New,Part of GBP183 m ($238 m) deal; for UK company for training UK armed forces in 'MFTS' programme; UK designation Jupiter HT-1,3.25,13,13
United Kingdom,Germany,2016,,23,,G-120TP,trainer aircraft,23,?,2016; 2017; 2018,New,For UK company for training of UK armed forces in 'MFTS' programme; UK designation Prefect T-1,0.4,9.2,9.2
United Kingdom,United States,2013,,5,?,ScanEagle,UAV,5,?,2014,New,GBP30 m ($46 m) 'MarUAS' deal; leased and operated by producer for UK navy,0.04,0.2,0.2
United Kingdom,United States,2012,,1000,?,Paveway,guided bomb,200,?,2014,New,GBP60 m deal; Paveway-4 version; replacing Paveway used in Libya war 2011,0.02,20,4
United Kingdom,Germany,2015,,1,?,ASR-NG,air-search radar,1,?,2018,New,,9,9,9
United Kingdom,United States,2012,,5,,Mk-15 Phalanx,naval gun,5,?,2015; 2016; 2017,New,GBP43 m ($69 m) deal; Phalanx Block-1B version for support ships,7,35,35
United Kingdom,Canada,2016,,10,?,aircraft engine,aircraft engine,10,?,2018,New,Pratt & Whitney Canada PT-6A-68 (1100hp) turboprop engine for T-6C trainer aircraft from USA,0.5,5,5
United Kingdom,United States,2009,,92,?,aircraft engine,aircraft engine,52,?,2014; 2015; 2016,New,GBP128 m deal; Honeywell T-55-L-714 (4775hp) turboshaft for 'Project Julius' modernization of 38 CH-47 (Chinook HC-2) helicopters to Chinook HC-4 version (incl spare engines),1.5,138,78
United Kingdom,United States,2017,,1000,,AGM-114 Hellfire-2,anti-tank/air-to-surface missile,1000,?,2017,New,AGM-114R1 and AGM-114R2 versions,0.05,50,50
United Kingdom,Sweden,2023,,14,,Archer 155mm,self-propelled gun,14,,2023; 2024,New,Second-hand but never used,1.5,21,21
United Kingdom,Spain,2014,,344,,Scout-SV,armoured personnel carrier,90,?,2018; 2019; 2020; 2022; 2023; 2024,New,Part of GBP3.5 b ($5.6 b) 'SV Scout' programme; incl 38 Atlas ARV; 50 Apollo repair; 51 Argus AEV; 93 Ares ALV and 112 Athena command post versions,0.42,144.48,37.8
United Kingdom,United States,2010,,3,,RC-135 Rivet Joint,signals intelligence aircraft,2,,2015; 2017,New,GBP680 m ($1 b) 'Project Helix' or 'Airseeker' deal; second-hand KC-135R tanker aircraft rebuilt to RC-135W,150,450,300
United Kingdom,Sweden,2023,?,11,,Giraffe-1X,air-search radar,1,?,2023,New,SEK164 m deal; incl 1 for support ship,7.5,82.5,7.5
United Kingdom,Israel,2005,,54,,Hermes-450,UAV,39,?,2014; 2015; 2016,New,Part of GBP700 m-GBP1.1 b ($1.2-1.8 b) 'Watchkeeper' programme (incl GBP300m for producer of Hermes-450) most produced in UK; UK designation WK-450,2,108,78
United Kingdom,United States,2014,,20,,BGM-109 Tomahawk,surface-to-surface missile,20,?,2016,New,BGM-109 Block-4 version; for use on submarines; replacing missiles used in operations,1,20,20
United Kingdom,United States,2015,,500,,AGM-114 Hellfire-2,anti-tank/air-to-surface missile,500,?,2016,New,,0.05,25,25
United Kingdom,Sweden,2022,?,5,,ARTHUR,artillery locating radar,5,?,2023; 2024,New,'TAIPAN' programme,4,20,20
United Kingdom,United States,2016,,10,,T-6 Texan-2,(armed) trainer aircraft,10,,2018,New,Part of 'MFTS' programme; for UK company for training UK armed forces in 'MFTS' programme; T-6C version; UK designation Texan T-1,2,20,20
United Kingdom,Canada,2019,?,4,?,aircraft engine,aircraft engine,4,?,2020,New,Pratt & Whitney Canada PT-6A-68 (1100hp) turboprop engine for 4 T-6C trainer aircraft from USA,0.5,2,2
United Kingdom,Germany,2015,,3,,EC145,light helicopter,3,?,2017,New,For UK company for training UK armed forces in 'MFTS' programme; UK designation Jupiter HT-1,3.25,9.75,9.75
United Kingdom,Sweden,2015,,4,,Giraffe-AMB,air-search radar,4,?,2017; 2018,New,SEK610 m ($75 m) deal,7.5,30,30
United Kingdom,Spain,2019,,1,,Lanza-LTR,air-search radar,1,,2020,New,GBP13.2 m ($17 m) deal; Lanza-LTR-25 version,13,13,13
United Kingdom,Finland,2012,?,8,,ship engine,ship engine,8,,2017; 2018; 2019,New,W�rtsil� 6L46F (10150hp) diesel engine for 4 Tide replenishment tankers from South Korea,3,24,24
United Kingdom,United States,2019,?,4,,T-6 Texan-2,(armed) trainer aircraft,4,,2020,New,Part of 'MFTS' programme; for UK company for training UK armed forces in 'MFTS' programme; T-6C version; UK designation Texan T-1,2,8,8
United Kingdom,United States,2020,,16,,Protector CPB,armed UAV,12,?,2022; 2023; 2024,New,GBP260 m ($305 m) deal (part ofGBP415 m ($607 m) 'Protector' programme); Certifiable Protector-B version; UK designation Protector RG-1,7.5,120,90
